Row,Class,Higher Taxon,Family ,Species ,q25Wkg  ,qWkg,Mg ,TC ,DMg ,WC,Source,
273,Branchiopoda,Branchiopoda,Daphnidae,Daphnia ambigua,26.435,7.333,0.0000047,6.5,,,Armitage & Lei 1979 ,
274,Branchiopoda,Branchiopoda, Daphnidae ,Daphnia ambigua ,26.597,7.378,0.0000258,6.5,0.00000507,80.4,Armitage & Lei 1979 ,
278,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,33.608,29.056,0.00000587,22.9,0.0000015,80.4,Armitage & Lei 1979 ,
276,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,31.32,27.078,0.00000597,22.9,0.00000117,80.4,Armitage & Lei 1979 ,
272,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,25.254,21.833,0.00000893,22.9,0.00000175,80.4,Armitage & Lei 1979 ,
270,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,17.196,14.867,0.0000136,22.9,0.00000266,80.4,Armitage & Lei 1979 ,
266,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,14.041,12.139,0.0000178,22.9,0.00000349,80.4,Armitage & Lei 1979 ,
264,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,13.643,15.244,0.0000184,26.6,0.00000362,80.4,Armitage & Lei 1979 ,
262,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,13.045,11.278,0.000019,22.9,,80.4,Armitage & Lei 1979 ,
263,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,13.05,11.283,0.000019,22.9,0.00000372,80.4,Armitage & Lei 1979 ,
261,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,9.6225,6.006,0.0000197,18.2,0.00000387,80.4,Armitage & Lei 1979 ,
268,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,16.573,14.328,0.0000221,22.9,0.00000434,80.4,Armitage & Lei 1979 ,
271,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,17.775,7.9,0.0000251,13.3,0.0000049,80.4,Armitage & Lei 1979 ,
277,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,32.898,12.728,0.0000254,11.3,0.00000498,80.4,Armitage & Lei 1979 ,
269,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,16.759,14.489,0.0000265,22.9,0.0000052,80.4,Armitage & Lei 1979 ,
275,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,29.62,10.4,0.0000267,9.9,0.00000524,80.4,Armitage & Lei 1979 ,
267,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,14.368,12.422,0.0000287,22.9,0.00000563,80.4,Armitage & Lei 1979 ,
265,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia ambigua ,13.918,12.033,0.0000308,22.9,0.00000573,80.4,Armitage & Lei 1979 ,
282,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia magma ,32.997,23.333,0.00005,20,,,Schindler 1968 ,
284,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia magma ,36.195,25.594,0.000061,20,,,Goss & Bunting 1980 ,
286,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia magma ,47.6,47.6,0.000066,25,,, Goss & Bunting 1980 ,
285,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia magma ,38.034,19.017,0.000087,15,,,Goss & Bunting 1980,
281,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia magma ,29.855,21.111,0.0001,20,,,Schindler 1968 ,
283,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia magma ,35.386,12.511,0.000118,10,,,Goss & Bunting 1980 ,
280,Branchiopoda,Branchiopoda, Daphnidae ,Daphnia magma ,28.288,7.072,0.000146,5,,,Goss & Bunting 1980 ,
279,Branchiopoda,Branchiopoda,Daphnidae,Daphnia magma ,26.713,18.889,0.00015,20,,,Schindler 1968 ,
289,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia pulex ,51.147,36.167,0.000055,20,,, Ikeda 1970 ,
290,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia pulex ,58.139,82.222,0.000147,30,,,Goss & Bunting 1980 ,
291,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia pulex ,64.067,64.067,0.0002,25,,,Goss & Bunting 1980 ,
292,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia pulex ,65.548,46.35,0.000208,20,,,Goss & Bunting 1980 ,
293,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia pulex ,65.556,32.778,0.000374,15,,,Goss & Bunting 1980 ,
288,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia pulex ,42.285,14.95,0.000481,10,,,Goss & Bunting 1980,
287,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia pulex ,37.668,9.417,0.000581,5,,,Goss & Bunting 1980 ,
294,Branchiopoda,Branchiopoda,Daphnidae ,Daphnia pulex ,132.489,103.9,0.0006,21.5,,,Ikeda 1970 ,
295,Branchiopoda,Branchiopoda,Sididae ,Penilia avirostris ,3.1,2.2,0.00004,20,,,Pavlova 1961 ,
296,Branchiopoda,Branchiopoda,Podonidae ,Podon polyphemoides ,4.2,2.9,0.00012,20,,,Pavlova 1961 ,
297,Branchiopoda,Branchiopoda,Polyartemiidae ,Polyartemia forcipata ,2.8284,2,0.00769,20,,,Ivanova & Korobtsova 1974 ,
302,Branchiopoda,Branchiopoda,Triopsidae ,Triops cancriformis ,3.5,2.5,0.16,20,0.0135,91.6,Tscherbakov & Muragina 1953 , 
301,Branchiopoda,Branchiopoda,Triopsidae ,Triops cancriformis ,3.1,2.2,0.19,20,0.0185,90.3,Tscherbakov & Muragina 1953 , 
298,Branchiopoda,Branchiopoda,Triopsidae ,Triops cancriformis ,1.6,1.1,0.23,20,0.019,91.7,Tscherbakov & Muragina 1953 , 
299,Branchiopoda,Branchiopoda,Triopsidae ,Triops cancriformis ,1.7,1.2,0.34,20,0.028,91.8,Tscherbakov & Muragina 1953 , 
300,Branchiopoda,Branchiopoda,Triopsidae ,Triops cancriformis ,1.75,1.24,0.41,20,0.035,91.5,Tscherbakov & Muragina 1953 , 
541,Malacostraca,Decapoda ,Oplophoridae ,Acanthephyra acutifrons ,0.5968,0.211,8.64,10,,,Cowles et al. 1991 ,
542,Malacostraca,Decapoda ,Oplophoridae ,Acanthephyra acutifrons ,0.824,0.206,8.64,5,,,Cowles et al. 1991 ,
543,Malacostraca,Decapoda ,Oplophoridae ,Acanthephyra curtirostris ,0.0662,0.0234,2.29,10,,,Cowles et al. 1991 ,
544,Malacostraca,Decapoda ,Oplophoridae ,Acanthephyra curtirostris ,0.0904,0.0226,2.29,5,,,Cowles et al. 1991 ,
545,Malacostraca,Decapoda ,Oplophridae ,Acanthephyra curtirostris ,0.1468,0.038,3.53,5.5,0.85,75.9,Childress 1975,
546,Malacostraca,Decapoda ,Oplophoridae ,Acanthephyra curtirostris ,3.1683,0.82,3.53,5.5,0.85,75.9, Childress 1975 ,
547,Malacostraca,Decapoda ,Oplophridae ,Acanthephyra smithi ,1.6405,0.58,3.84,10,,,Cowles et al. 1991 ,
548,Malacostraca,Decapoda ,Oplophridae,Acanthephyra smithi ,1.9799,1.4,3.84,20,,,Cowles et al. 1991,
549,Malacostraca,Decapoda , Oplophridae ,Acanthephyra smithi ,3.64,0.91,3.84,5,,, Cowles et al. 1991 ,
315,Malacostraca,Isopoda ,Aegidae ,Aega sp. ,4.5373,2.606,0.026,17,0.00664,74.4, Ikeda 1970 ,
317,Malacostraca,Isopoda ,Anuropidae ,Anuropus bathypelagicus ,0.0889,0.023,3.45,5.5,0.95,72.4,Childress 1975 , 
318,Malacostraca,Isopoda ,Anuropidae ,Anuropus bathypelagicus ,0.4984,0.129,3.45,5.5,0.95,72.4,Childress 1975 , 
328,Malacostraca,Isopoda ,Armadillidae ,Armadillidium nasatum ,1.0235,0.7237,0.03,20,,,Reichle 1968 ,
341,Malacostraca,Isopoda ,Armadillidae ,Armadillidium pallasii ,4.4,3.111,0.0009,20,,,Byzova 1973 ,
340,Malacostraca,Isopoda ,Armadillidae ,Armadillidium pallasii ,3.615,2.556,0.0025,20,,,Byzova 1973 ,
336,Malacostraca,Isopoda ,Armadillidae ,Armadillidium pallasii ,1.414,1,0.015,20,,,Byzova 1973 (data of Müller 1943) ,
339,Malacostraca,Isopoda ,Armadillidae ,Armadillidium pallasii ,2.908,2.056,0.024,20,,,Byzova 1973 ,
335,Malacostraca,Isopoda ,Armadillidae ,Armadillidium pallasii ,1.242,0.878,0.03,20,,,Byzova 1973 (data of Müller 1943) ,
333,Malacostraca,Isopoda ,Armadillidae ,Armadillidium pallasii ,0.935,0.661,0.05,20,,,Byzova 1973 (data of Müller 1943) ,
337,Malacostraca,Isopoda ,Armadillidae ,Armadillidium pallasii ,1.894,1.339,0.053,20,,,Byzova 1973 ,
338,Malacostraca,Isopoda ,Armadillidae ,Armadillidium pallasii ,2.106,1.489,0.053,20,,,Byzova 1973 ,
334,Malacostraca,Isopoda ,Armadillidae ,Armadillidium pallasii ,1.1,0.778,0.09,20,,,Byzova 1973 ,
330,Malacostraca,Isopoda ,Armadillidae ,Armadillidium pallasii ,0.731,0.517,0.1,20,,,Byzova 1973 (data of Müller 1943) ,
332,Malacostraca,Isopoda ,Armadillidae ,Armadillidium pallasii ,0.817,0.578,0.13,20,,,Byzova 1973 (data of Müller 1943) ,
331,Malacostraca,Isopoda ,Armadillidae ,Armadillidium pallasii ,0.747,0.528,0.16,20,,,Byzova 1973 (data of Müller 1943) ,
329,Malacostraca,Isopoda ,Armadillidae ,Armadillidium pallasii ,0.707,0.5,0.27,20,,,Byzova 1973 ,
346,Malacostraca,Isopoda ,Armadillidae ,Armadillidium vulgare ,11.2345,7.944,0.00064,20,,,Byzova 1973 (data of Edney & Spencer 1956) ,
345,Malacostraca,Isopoda ,Armadillidae ,Armadillidium vulgare ,4.0857,2.889,0.004,20,,,Byzova 1973 (data of Engelmann 1961) ,
343,Malacostraca,Isopoda ,Armadillidae ,Armadillidium vulgare ,1.1469,0.811,0.065,20,,,Byzova 1973 (data of Edney 1964) ,
344,Malacostraca,Isopoda ,Armadillidae ,Armadillidium vulgare ,1.4142,1,0.12,20,,,Byzova 1973 (data of Reichle 1968) ,
342,Malacostraca,Isopoda ,Armadillidae ,Armadillidium vulgare ,0.7863,0.556,0.144,20,,,Byzova 1973 (data of Reichle 1968) ,
347,Malacostraca,Isopoda ,Asellidae ,Asellus aquaticus ,3.1,1.11,0.0168,10,,,Simèiè & Brancelj 2006 ,
553,Malacostraca,Decapoda ,Axiidae ,Calastacus quinqueseriatus ,0.54,0.27,1.38,15,,,Childress et al. 1990 ,
552,Malacostraca,Decapoda ,Axiidae ,Calastacus quinqueseriatus ,0.4808,0.17,1.73,10,,,Childress et al. 1990 ,
551,Malacostraca,Decapoda ,Axiidae ,Calastacus quinqueseriatus ,0.4,0.1,3.13,5,,,Childress et al. 1990 ,
550,Malacostraca,Decapoda ,Axiidae ,Calastacus quinqueseriatus ,0.1665,0.035,3.21,2.5,,,Childress et al. 1990 ,
557,Malacostraca,Decapoda ,Callianideidae ,Callinectes sapidus ,0.7771,0.5495,107.2,20,,,Lewis & Haefner 1976 ,
555,Malacostraca,Decapoda ,Callianideidae ,Callinectes sapidus ,0.6863,0.4853,134.1,20,,,Lewis & Haefner 1976 ,
554,Malacostraca,Decapoda ,Callianideidae ,Callinectes sapidus ,0.5739,0.4058,142.4,20,,,Lewis & Haefner 1976 ,
556,Malacostraca,Decapoda ,Callianideidae ,Callinectes sapidus ,0.7689,0.5437,158.9,20,,,Lewis & Haefner 1976 ,
558,Malacostraca,Decapoda ,Cancridae ,Cancer magister ,0.5565,0.3935,948,20,,,Cameron 1975 ,
559,Malacostraca,Decapoda ,Cancridae ,Cancer pagurus ,0.093,0.033,460,10,,,Aldrich 1975 ,
563,Malacostraca,Decapoda ,Portunidae ,Carcinus maenas ,0.618,0.437,12.7,20,,,Ivlev & Sutschenya 1961 ,
562,Malacostraca,Decapoda ,Portunidae ,Carcinus maenas ,0.5261,0.372,13.3,20,,,Ivlev & Sutschenya 1961 ,
560,Malacostraca,Decapoda ,Portunidae ,Carcinus maenas ,0.3718,0.2629,52.8,20,,,Taylor et al. 1977 ,
561,Malacostraca,Decapoda ,Portunidae ,Carcinus maenas ,0.3847,0.272,52.8,20,,,Taylor et al. 1977 ,
564,Malacostraca,Decapoda ,Parastacidae ,Cherax destructor ,0.4243,0.3,53,20,,,Ellis & Morris 1995 ,
565,Malacostraca,Decapoda ,Hyppolitidae ,Chorismus antarcticus ,0.8465,0.133,2.273,-1.7,0.593,74,Opalinski 1991 ,
566,Malacostraca,Decapoda ,Hyppolitidae ,Chorismus antarcticus ,1.5759,0.32,5,2,1,80,Opalinski 1991 ,
567,Malacostraca,Decapoda ,,Cleistosoma edwardsii ,1.6973,1.2002,0.818,20,,,Dye & van der Veen 1980 ,
568,Malacostraca,Decapoda ,,Cleistosoma edwardsii ,1.8429,1.3031,0.818,20,,,Dye & van der Veen 1980 ,
569,Malacostraca,Decapoda ,Coenobitidae ,Coenobita compressus ,0.7979,0.5642,3.5,20,,,Herreid & Full 1986 ,
570,Malacostraca,Decapoda ,Coenobitidae ,Coenobita compressus ,1.0936,0.7733,3.7,20,,,Herreid & Full 1986 ,
571,Malacostraca,Decapoda ,Crangonidae ,Crangon abyssorum ,0.2624,0.078,1.2,7.5,,,Childress et al. 1990 ,
572,Malacostraca,Decapoda ,Crangonidae ,Crangon abyssorum ,0.4383,0.089,1.28,2,,,Childress et al. 1990 ,
573,Malacostraca,Decapoda ,Crangonidae ,Crangon affinis ,1.4159,1.0012,0.0506,20,,,Ikeda 1970 ,
576,Malacostraca,Decapoda ,Crangonidae ,Crangon communis ,0.978,0.489,2.14,15,,,Childress et al. 1990 ,
574,Malacostraca,Decapoda ,Crangonidae ,Crangon communis ,0.5346,0.189,2.91,10,,,Childress et al. 1990 ,
575,Malacostraca,Decapoda ,Crangonidae ,Crangon communis ,0.712,0.178,4.69,5,,,Childress et al. 1990 ,
362,Malacostraca,Isopoda ,Cylisticidae ,Cylisticus convexus ,1.8574,1.3134,0.0384,20,,,Reiche 1968 ,
577,Malacostraca,Decapoda ,Xanthidae ,Eriphia spinifrons ,0.27,0.193,350,20,,,Sutschenya & Abolmasova 1973 ,
581,Malacostraca,Decapoda ,Gecarcinidae ,Gecarcinus lateralis ,0.4387,0.3102,10,20,,,Taylor & Davies 1981 ,
579,Malacostraca,Decapoda ,Gecarcinidae ,Gecarcinus lateralis ,0.1754,0.124,20,20,,,Taylor & Davies 1981 ,
578,Malacostraca,Decapoda ,Gecarcinidae ,Gecarcinus lateralis ,0.0987,0.0698,40,20,,,Taylor & Davies 1981 ,
582,Malacostraca,Decapoda ,Gecarcinidae ,Gecarcinus lateralis ,0.592,0.4186,53.4,20,,,Herreid et al. 1983 ,
580,Malacostraca,Decapoda ,Gecarcinidae ,Gecarcinus lateralis ,0.3179,0.2248,140,20,,,Cameron 1975 ,
583,Malacostraca,Decapoda ,Aristeidae/Sergestidae ,Gecarcoidea natalis ,0.7,0.7,160,25,,,Adamczewska & Morris 1994 ,
587,Malacostraca,Decapoda ,Aristeidae ,Gennadas propinquus ,0.4134,0.107,1.62,5.5,0.378,76.7,Childress 1975 ,
588,Malacostraca,Decapoda ,Aristeidae ,Gennadas propinquus ,1.0432,0.27,1.62,5.5,0.378,76.7,Childress 1975 ,
590,Malacostraca,Decapoda ,Glyphocrangonidae ,Glyphocrangon vicaria ,0.5909,0.12,9.71,2,,,Childress et al. 1990 ,
589,Malacostraca,Decapoda ,Glyphocrangonidae ,Glyphocrangon vicaria ,0.5278,0.2,9.85,11,,,Childress et al. 1990 ,
385,Malacostraca,Isopoda ,Chaetiliidae ,Glyptonotus antarcticus ,0.3224,0.057,33,0,,,Robertson et al. 2003 ,
591,Malacostraca,Decapoda ,Grapsidae ,Hemigrapsus nudus ,0.0106,0.0075,20,20,,,Dehnel 1960 ,
592,Malacostraca,Decapoda ,Grapsidae ,Hemigrapsus nudus ,0.0151,0.0107,20,20,,,Dehnel 1960 ,
593,Malacostraca,Decapoda ,Grapsidae ,Hemigrapsus oregonensis ,0.015,0.0106,20,20,,,Dehnel 1960 ,
594,Malacostraca,Decapoda ,Grapsidae ,Hemigrapsus oregonensis ,0.0199,0.0141,20,20,,,Dehnel 1960 ,
404,Malacostraca,Isopoda ,Hemioniscidae ,Hemilepistus elegans ,1.5316,1.083,0.115,20,,,Byzova 1973 ,
403,Malacostraca,Isopoda ,Hemioniscidae ,Hemilepistus elegans ,0.7382,0.522,0.275,20,,,Byzova 1973 ,
600,Malacostraca,Decapoda ,Sundathelphusidae ,Holthuisana transversa,0.4332,0.3063,5,20,,,MacMillen 1978  ,
601,Malacostraca,Decapoda ,Sundathelphusidae ,Holthuisana transversa ,0.7577,0.5358,2,20,,,MacMillen 1978,
599,Malacostraca,Decapoda ,Sundathelphusidae ,Holthuisana transversa ,0.3015,0.2132,10,20,,,MacMillen 1978 ,
598,Malacostraca,Decapoda ,Sundathelphusidae ,Holthuisana transversa ,0.2572,0.1819,12,20,,,MacMillen 1978 ,
597,Malacostraca,Decapoda ,Sundathelphusidae ,Holthuisana transversa ,0.2249,0.159,15,20,,,MacMillen 1978 ,
596,Malacostraca,Decapoda ,Sundathelphusidae ,Holthuisana transversa ,0.1921,0.1358,20,20,,,MacMillen 1978 ,
595,Malacostraca,Decapoda ,Sundathelphusidae ,Holthuisana transversa ,0.1481,0.1047,30,20,,,MacMillen 1978 ,
602,Malacostraca,Decapoda ,Nephropidae ,Homarus americanus ,0.3454,0.2442,180,20,,,Penkoff & Thurberg 1982 ,
603,Malacostraca,Decapoda ,Oplophoridae ,Hymenodora frontalis ,0.3516,0.091,1.4,5.5,0.507,63.8,Childress 1975 ,
604,Malacostraca,Decapoda ,Oplophoridae ,Hymenodora frontalis ,0.6993,0.181,1.4,5.5,0.507,63.8,Childress 1975 ,
419,Malacostraca,Isopoda ,Idoteidae ,Idotea baltica basteri ,2.1,1.45,0.1385,20,,,Khmeleva 1973,
605,Malacostraca,Decapoda ,Oplophoridae ,Janicella spinicauda ,1.7819,0.63,0.35,10,,,Cowles et al. 1991 ,
606,Malacostraca,Decapoda ,Oplophoridae ,Janicella spinicauda ,2.7153,1.92,0.35,20,,,Cowles et al. 1991 ,
422,Malacostraca,Isopoda ,Ligiidae ,Ligia oceanica ,1.2572,0.889,0.8,20,,,Byzova 1973 (data of Edney & Spencer 1955) ,
423,Malacostraca,Isopoda ,Ligiidae ,Ligia oceanica ,1.335,0.944,0.8,20,,,Byzova 1973 (data of Ellenby 1951) ,
425,Malacostraca,Isopoda ,Ligiidae ,Ligidium japonica ,3.1424,2.222,0.0045,20,,,Byzova 1973 (data of Saito 1965) ,
424,Malacostraca,Isopoda ,Ligiidae ,Ligidium japonica ,1.8074,1.278,0.025,20,,,Byzova 1973 (data of Saito 1965) ,
607,Malacostraca,Decapoda ,Sergestidae ,Lucifer typus ,10.9115,6.267,0.000466,17,0.000068,85.4,Ikeda 1970 ,
608,Malacostraca,Decapoda ,Hippolytidae ,Lysmata sp. ,5.0678,7.167,0.0109,30,0.00147,86.5,Ikeda 1970 ,
609,Malacostraca,Decapoda ,Palaemonidae ,Macrobrachium acanthurus ,1.3011,0.92,1.7,20,0.5,?71 ,Moreira et al. 1983 ,
610,Malacostraca,Decapoda ,Palaemonidae ,Macrobrachium heterochirus ,1.2587,0.89,2.6,20,0.75,?71 ,Moreira et al. 1983 ,
611,Malacostraca,Decapoda ,Palaemonidae  ,Macrobrachium olfersi ,0.8485,0.6,1.2,20,0.35,?71 ,Moreira et al. 1983 ,
612,Malacostraca,Decapoda ,Palaemonidae,Macrobrachium potiuna ,0.693,0.49,0.68,20,0.2,?71 ,Moreira et al. 1983 ,
613,Malacostraca,Decapoda ,Majidae ,Maja squinado ,0.063,0.022,591,10,,,Aldrich 1975 ,
616,Malacostraca,Decapoda ,Xanthidae ,Menippe mercenaria ,6.5721,4.6472,0.000303,20,,,Moots & Epifanio 1974 ,
615,Malacostraca,Decapoda ,Xanthidae,Menippe mercenaria ,3.2227,2.2788,0.0242,20,,,Moots & Epifanio 1974 ,
614,Malacostraca,Decapoda ,Xanthidae  ,Menippe mercenaria ,0.1732,0.1225,31.6,20,,,Leffler 1973 ,
430,Malacostraca,Isopoda ,Oniscidae ,Mesidothea entomon ,2.1579,1.5259,0.5,20,,,Romanova & Khmeleva 1978 ,
429,Malacostraca,Isopoda ,Oniscidae ,Mesidothea entomon ,1.6859,1.1921,2,20,,,Romanova & Khmeleva 1978 ,
428,Malacostraca,Isopoda ,Oniscidae ,Mesidothea entomon ,1.619,1.1448,3.2,20,,,Romanova & Khmeleva 1978 ,
427,Malacostraca,Isopoda ,Oniscidae ,Mesidothea entomon ,1.4503,1.0255,5,20,,,Romanova & Khmeleva 1978 ,
426,Malacostraca,Isopoda ,Oniscidae ,Mesidothea entomon ,1.2885,0.9111,10,20,,,Romanova & Khmeleva 1978 ,
617,Malacostraca,Decapoda ,Panaeidae ,Metapenaeus pruinosus ,2.6248,1.856,0.184,20,,,Reiche 1968 ,
618,Malacostraca,Decapoda ,Galatheidae ,Munidopsis verrilli ,0.1427,0.03,5.62,2.5,,,Childress et al. 1990 ,
619,Malacostraca,Decapoda ,Crangonidae ,Notocrangon antarcticus ,2.6543,0.539,1,2,0.4,60,Opalinski 1991 ,
620,Malacostraca,Decapoda ,Oplophoridae ,Notostomus elegans ,0.668,0.167,22.54,5,,,Cowles et al. 1991 ,
621,Malacostraca,Decapoda ,Oplophoridae ,Notostomus elegans ,1.0126,0.358,22.54,10,,,Cowles et al. 1991 ,
622,Malacostraca,Decapoda ,Oplophoridae ,Notostomus gibbosus ,0.24,0.06,10.4,5,,,Cowles et al. 1991 ,
623,Malacostraca,Decapoda ,Oplophoridae ,Notostomus gibbosus ,0.4525,0.16,10.4,10,,,Cowles et al. 1991 ,
624,Malacostraca,Decapoda ,Oplophoridae ,Notostomus sp. ,0.1158,0.027,40,4,2.8,93,Childress 1975 ,
625,Malacostraca,Decapoda ,Oplophoridae ,Notostomus sp. ,0.1801,0.042,40,4,2.8,93,Childress 1975,
632,Malacostraca,Decapoda ,Ocypodidae,Ocypode platytarsis ,3.1735,2.244,0.5,20,,,Veerannan 1974 ,
631,Malacostraca,Decapoda ,Ocypodidae  ,Ocypode platytarsis ,2.2691,1.6045,1,20,,,Veerannan 1974,
629,Malacostraca,Decapoda ,Ocypodidae ,Ocypode platytarsis ,1.6542,1.1697,2,20,,,Veerannan 1974 ,
628,Malacostraca,Decapoda ,Ocypodidae ,Ocypode platytarsis ,1.362,0.9631,3,20,,,Veerannan 1974 ,
630,Malacostraca,Decapoda ,Ocypodidae ,Ocypode platytarsis ,1.7603,2.022,3.58,27,,,Veerannan 1974 ,
627,Malacostraca,Decapoda ,Ocypodidae ,Ocypode platytarsis ,1.0964,0.7753,5,20,,,Veerannan 1974 ,
626,Malacostraca,Decapoda ,Ocypodidae ,Ocypode platytarsis ,0.7846,0.5548,10,20,,, Veerannan 1974 ,
636,Malacostraca,Decapoda ,Ocypodidae ,Ocypode quadrata ,1.4771,1.0445,2.1,20,,,Full 1987 ,
634,Malacostraca,Decapoda ,Ocypodidae ,Ocypode quadrata ,0.7084,0.5009,26.9,20,,,Full 1987 ,
635,Malacostraca,Decapoda ,Ocypodidae ,Ocypode quadrata ,0.869,0.8108,33.3,24,,,Full 1987 ,
633,Malacostraca,Decapoda ,Ocypodidae ,Ocypode quadrata ,0.4131,0.2921,70.9,20,,,Full 1987 ,
458,Malacostraca,Isopoda ,Oniscidae ,Oniscus asellus ,12.257,8.667,0.0018,20,,,Byzova 1973 (data of Morrison 1946) ,
457,Malacostraca,Isopoda ,Oniscidae ,Oniscus asellus ,7.0711,5,0.0061,20,,,Byzova 1973 (data of Edwards 1946) ,
