Species,Mg,TC,MRo2,Watts,ref,
Bufo boreas ,47.3,20,2.3177,0.012940492,[255] ,
Bufo boreas ,57.8,20,1.052,0.005873667,[255] ,
Bufo boreas ,2.5,20,0.25,0.001395833,[255] ,
Bufo boreas ,27.3,25,2.64,0.01474,[255] ,
Bufo boreas ,53.8,25,5.5812,0.0311617,[255] ,
Bufo boreas ,40.2,30,3.0512,0.017035867,[255] ,
Bufo boreas ,47.3,30,2.4265,0.013547958,[255] ,
Bufo boreas ,57.8,30,6.4852,0.036209033,[255] ,
Bufo bufo ,28.59,6,2.037,0.01137325,[255] ,
Bufo bufo ,76.13,6,1.7415,0.009723375,[255] ,
Bufo bufo ,28.59,15,4.8389,0.027017192,[255] ,
Bufo bufo ,76.13,15,2.8549,0.015939858,[255] ,
Bufo bufo ,43,17,4.8246,0.02693735,[255] ,
Bufo bufo ,29,20,4.901,0.027363917,[255] ,
Bufo bufo ,29,20,3.915,0.02185875,[255] ,
Bufo bufo ,28.59,25,4.5851,0.025600142,[255] ,
Bufo bufo ,76.13,25,9.64,0.053823333,[255] ,
Bufo calamita ,8.67,20,0.511,0.002853083,[255] ,
Bufo calamita ,8.7,20,0.5046,0.00281735,[255] ,
Bufo cognatus ,45.2,5,1.2792,0.0071422,[255] ,
Bufo cognatus ,39.58,10,1.979,0.011049417,[255] ,
Bufo cognatus ,50.5,15,3.8481,0.021485225,[255] ,
Bufo cognatus ,39.58,20,4.4725,0.024971458,[255] ,
Bufo cognatus ,40.2,25,2.9587,0.016519408,[255] ,
Bufo cognatus ,39.58,30,7.2036,0.0402201,[255] ,
Bufo debilus ,0.66,15,0.0845,0.000471792,[255] ,
Bufo marinus ,101,15,2.2877,0.012772992,[255] ,
Bufo marinus ,145,15,1.5515,0.008662542,[255] ,
Bufo marinus ,123.8,15,4.6276,0.025837433,[255] ,
Bufo marinus ,1200,18.5,33.15,0.1850875,[255] ,
Bufo marinus ,101,20,2.6088,0.0145658,[255] ,
Bufo marinus ,156,20,3.042,0.0169845,[255] ,
Bufo marinus ,152.5,22,7.32,0.04087,[255] ,
Bufo marinus ,252,22,11.088,0.061908,[255] ,
Bufo marinus ,101,25,3.1704,0.0177014,[255] ,
Bufo marinus ,88.7,25,6.3447,0.035424575,[255] ,
Bufo marinus ,101,30,5.7782,0.032261617,[255] ,
Bufo marinus ,101,35,8.2669,0.046156858,[255] ,
Bufo terrestris ,21.4,5,0.6527,0.003644242,[255] ,
Bufo terrestris ,16.6,15,1.336,0.007459333,[255] ,
Bufo terrestris ,102,15,7.5,0.041875,[255] ,
Bufo terrestris ,102,20,15.1,0.084308333,[255] ,
Bufo terrestris ,19.8,25,2.2425,0.012520625,[255] ,
Bufo terrestris ,102,25,30.42,0.169845,[255] ,
Bufo terrestris ,102,30,61.25,0.341979167,[255] ,
Bufo viridis ,35,20,0.875,0.004885417,[255] ,
Bufo woodhousii ,67.4,10,1.2739,0.007112608,[255] ,
Bufo woodhousii ,69,15,2.7255,0.015217375,[255] ,
Bufo woodhousii ,64.8,20,4.4129,0.024638692,[255] ,
Bufo woodhousii ,52.2,23,2.16,0.01206,[255] ,
Bufo woodhousii ,56.3,25,2.2351,0.012479308,[255] ,
Bufo woodhousii ,9,25,1.017,0.00567825,[255] ,
Colostethus inguinalis ,1.57,20,0.1366,0.000762683,[255] ,
Colostethus inguinalis ,1.53,25,0.2127,0.001187575,[255] ,
Colostethus nubicola ,0.28,20,0.0314,0.000175317,[255] ,
Colostethus nubicola ,0.27,25,0.0435,0.000242875,[255] ,
Colostethus trinitatus ,1,25,0.201,0.00112225,[255] ,
Dendrobates auratus ,2.09,20,0.1421,0.000793392,[255] ,
Dendrobates auratus ,1.77,25,0.1593,0.000889425,[255] ,
Phyllobates subpunctatus ,1.5,15,0.108,0.000603,[255] ,
Bombina orientalis ,2.62,20,0.149,0.000831917,[255] ,
Bombina orientalis ,2.6,20,0.1456,0.000812933,[255] ,
Discoglossus pictus ,30.71,20,1.142,0.006376167,[255] ,
Discoglossus pictus ,30.7,20,1.1359,0.006342108,[255] ,
Acris crepitans ,1.935,5,0.0459,0.000256275,[255] ,
Acris crepitans ,1.59,15,0.0477,0.000266325,[255] ,
Acris crepitans ,1.735,15,0.1118,0.000624217,[255] ,
Acris crepitans ,1.5,15,0.1155,0.000644875,[255] ,
Acris crepitans ,0.5,15,0.0335,0.000187042,[255] ,
Acris crepitans ,1.27,15,0.0838,0.000467883,[255] ,
Acris crepitans ,0.9,15,0.0612,0.0003417,[255] ,
Acris crepitans ,1.855,25,0.3288,0.0018358,[255] ,
Acris crepitans ,1.5,25,0.2535,0.001415375,[255] ,
Acris crepitans ,0.5,25,0.117,0.00065325,[255] ,
Agalychnis callidryas ,5.65,20,0.337,0.001881583,[255] ,
Agalychnis callidryas ,5.7,20,0.3477,0.001941325,[255] ,
Cyclorana platycephala ,11,15,0.5907,0.003298075,[255] ,
Hyla arborea ,7.78,18.5,2.4429,0.013639525,[255] ,
Hyla arenicolor ,3.37,20,0.3,0.001675,[255] ,
Hyla arenicolor ,3.4,20,0.3162,0.00176545,[255] ,
Hyla chrysoscelis ,3.9,10,0.1482,0.00082745,[255] ,
Hyla chrysoscelis ,3.9,20,0.4368,0.0024388,[255] ,
Hyla chrysoscelis ,5.47,20,0.7056,0.0039396,[255] ,
Hyla chrysoscelis ,3.9,30,1.1365,0.006345458,[255] ,
Hyla cinerea ,3.82,10,0.217,0.001211583,[255] ,
Hyla cinerea ,6.4,15,0.8097,0.004520825,[255] ,
Hyla cinerea ,3.82,20,0.5596,0.003124433,[255] ,
Hyla cinerea ,8.9,22,1.513,0.008447583,[255] ,
Hyla cinerea ,4.5,25,0.459,0.00256275,[255] ,
Hyla cinerea ,5.1,27,0.689,0.003846917,[255] ,
Hyla cinerea ,3.82,30,0.8488,0.004739133,[255] ,
Hyla crepitans ,9.9,25,1.1484,0.0064119,[255] ,
Hyla crucifer ,0.85,14,0.1037,0.000578992,[255] ,
Hyla crucifer ,1.3,20,0.1443,0.000805675,[255] ,
Hyla crucifer ,1.31,20,0.149,0.000831917,[255] ,
Hyla crucifer ,1.3,20,0.1443,0.000805675,[255] ,
Hyla crucifer ,1.15,20,0.1265,0.000706292,[255] ,
Hyla gratiosa ,10.2,5,0.5281,0.002948558,[255] ,
Hyla gratiosa ,10.2,15,0.9081,0.005070225,[255] ,
Hyla gratiosa ,9.8,25,1.4431,0.008057308,[255] ,
Hyla gratiosa ,13.9,29,1.321,0.007375583,[255] ,
Hyla maxima ,41.4,25,3.933,0.02195925,[255] ,
Hyla regilla ,2.76,20,0.1656,0.0009246,[255] ,
Hyla regilla ,2.27,21,0.089,0.000496917,[255] ,
Hyla squirella ,2.2,27,0.363,0.00202675,[255] ,
Hyla versicolor ,8.3,5,0.5997,0.003348325,[255] ,
Hyla versicolor ,8.3,15,0.8644,0.004826233,[255] ,
Hyla versicolor ,8.62,19,0.6724,0.003754233,[255] ,
Hyla versicolor ,6.09,20,0.6029,0.003366192,[255] ,
Hyla versicolor ,7.6,25,1.5252,0.0085157,[255] ,
Osteopilus septentrionalis ,4.98,20,0.33,0.0018425,[255] ,
Osteopilus septentrionalis ,5,20,0.33,0.0018425,[255] ,
Phyllomedusa sauvagei ,17.5,10,0.5075,0.002833542,[255] ,
Phyllomedusa sauvagei ,17.5,15,0.77,0.004299167,[255] ,
Phyllomedusa sauvagei ,17.5,25,1.8025,0.010063958,[255] ,
Phyllomedusa sauvagei ,17.5,30,2.7475,0.015340208,[255] ,
Phyllomedusa sauvagei ,17.5,35,4.1825,0.023352292,[255] ,
Phyllomedusa sauvagei ,17.5,38,6.125,0.034197917,[255] ,
Pseudacris nigrita ,1,25,0.162,0.0009045,[255] ,
Pseudacris triseriata ,0.94,5,0.0141,0.000078725,[255] ,
Pseudacris triseriata ,1.41,5,0.1695,0.000946375,[255] ,
Pseudacris triseriata ,1.192,10,0.1774,0.000990483,[255] ,
Pseudacris triseriata ,1.065,10,0.2556,0.0014271,[255] ,
Pseudacris triseriata ,1.34,15,0.3015,0.001683375,[255] ,
Pseudacris triseriata ,1.9,18.5,0.209,0.001166917,[255] ,
Pseudacris triseriata ,1.125,20,0.2687,0.001500242,[255] ,
Pseudacris triseriata ,1.056,20,0.4836,0.0027001,[255] ,
Pseudacris triseriata ,0.94,25,0.1119,0.000624775,[255] ,
Pseudacris triseriata ,1.31,25,0.5015,0.002800042,[255] ,
Pternohyla fodiens ,15.13,20,0.514,0.002869833,[255] ,
Pternohyla fodiens ,15.1,20,0.4832,0.002697867,[255] ,
Smilisca baudinii ,23.7,15,1.5832,0.008839533,,
Hyperolius marmoratus ,1,20,0.0671,0.000374642,[255] ,
Hyperolius parallelus ,1,20,0.0765,0.000427125,[255] ,
Hyperolius tuberilinguis ,1,20,0.0679,0.000379108,[255] ,
Hyperolius viridiflavus ,0.88,20,0.083,0.000463417,[255] ,
Hyperolius viridiflavus ,0.9,20,0.0846,0.00047235,[255] ,
Kassina senegalensis ,3.02,20,0.228,0.001273,[255] ,
Kassina senegalensis ,3,20,0.231,0.00128975,[255] ,
Kassina weali ,6.25,20,0.318,0.0017755,[255] ,
Kassina weali ,6.3,20,0.3402,0.00189945,[255] ,
Ceratophrys calcarata ,55.5,25,2.967,0.01656575,[255] ,
Ceratophrys calcarata ,4.0434,35,4.0434,0.02257565,[255] ,
Eleutherodactylus coqui ,4.06,20,0.1786,0.000997183,[255] ,
Eleutherodactylus coqui ,4.06,20,0.167,0.000932417,[255] ,
Eleutherodactylus coqui ,4.1,20,0.1804,0.001007233,[255] ,
Eleutherodactylus portoricensis ,3.7,15,0.2566,0.001432683,[255] ,
Lepidobatrachus llanensis ,88.5,25,8.5845,0.047930125,[255] ,
Leptodactylus typhonius ,5.1,25,0.5865,0.003274625,[255] ,
Odontophrynus americanus ,15.24,20,0.549,0.00306525,[255] ,
Odontophrynus americanus ,15.2,20,0.5624,0.003140067,[255] ,
Physalaemus pustulosus ,1.72,25,0.26,0.001451667,[255] ,
Physalaemus pustulosus ,2.9,25,0.3393,0.001894425,[255] ,
Telmatobius culeus ,122.3,10,1.7244,0.0096279,[255] ,
Telmatobius marmoratus ,18.4,10,0.92,0.005136667,[255] ,
Gastrophryne carolinesis ,1.94,20,0.103,0.000575083,[255] ,
Gastrophryne carolinesis ,1.9,20,0.0988,0.000551633,[255] ,
Kaloula pulchra ,30.66,20,0.89,0.004969167,[255] ,
Kaloula pulchra ,30.7,20,0.7982,0.004456617,[255] ,
Microhyla carolinensis ,3.5,15,0.2315,0.001292542,[255] ,
Crinia parinsignifera ,0.653,5,0.0398,0.000222217,[255] ,
Crinia parinsignifera ,0.597,10,0.0501,0.000279725,[255] ,
Crinia parinsignifera ,0.658,15,0.1073,0.000599092,[255] ,
Crinia parinsignifera ,0.63,20,0.1166,0.000651017,[255] ,
Crinia parinsignifera ,0.666,25,0.1765,0.000985458,[255] ,
Crinia parinsignifera ,0.452,30,0.1709,0.000954192,[255] ,
Crinia parinsignifera ,0.665,35,0.3757,0.002097658,[255] ,
Crinia signifera ,0.683,5,0.041,0.000228917,[255] ,
Crinia signifera ,0.908,5,0.0499,0.000278608,[255] ,
Crinia signifera ,0.69,10,0.0593,0.000331092,[255] ,
Crinia signifera ,0.968,10,0.0823,0.000459508,[255] ,
Crinia signifera ,0.638,15,0.1078,0.000601883,[255] ,
Crinia signifera ,0.853,15,0.1331,0.000743142,[255] ,
Crinia signifera ,0.615,20,0.131,0.000731417,[255] ,
Crinia signifera ,0.621,25,0.149,0.000831917,[255] ,
Crinia signifera ,0.485,30,0.1761,0.000983225,[255] ,
Crinia signifera ,0.612,35,0.399,0.00222775,[255] ,
Scaphiopus bombifrons ,13.3,15,1.851,0.01033475,[255] ,
Scaphiopus couchii ,26.9,15,2.2609,0.012623358,[255] ,
Scaphiopus couchii ,24.6,21,1.8179,0.010149942,[255] ,
Scaphiopus hammondii ,23.6,15,2.2163,0.012374342,[255] ,
Scaphiopus hammondii ,1.55,15,0.2666,0.001488517,[255] ,
Scaphiopus hammondii ,10.87,15,0.75,0.0041875,[255] ,
Scaphiopus hammondii ,12.74,21,1.1466,0.00640185,[255] ,
Scaphiopus holbrooki ,14,15,1.1712,0.0065392,[255] ,
Xenopus laevis ,30.03,15,1.6847,0.009406242,[255] ,
Xenopus laevis ,63.6,15,2.1516,0.0120131,[255] ,
Xenopus laevis ,33.3,15,1.9106,0.010667517,[255] ,
Xenopus laevis ,67,17,4.2277,0.023604658,[255] ,
Xenopus laevis ,67.3,17.3,3.834,0.0214065,[255] ,
Xenopus laevis ,22.1,18,1.7901,0.009994725,[255] ,
Xenopus laevis ,100,20,4.5,0.025125,[255] ,
Xenopus laevis ,55,20,2.53,0.014125833,[255] ,
Xenopus laevis ,139,20,3.8364,0.0214199,[255] ,
Xenopus laevis ,122,22,5.5998,0.03126555,[255] ,
Xenopus laevis ,41,25,3.526,0.019686833,[255] ,
Xenopus laevis ,29.3,25,4.2,0.02345,[255] ,
Xenopus laevis ,23.9,25,3.824,0.021350667,[255] ,
Xenopus laevis ,28.39,25,1.6063,0.008968508,[255] ,
Xenopus laevis ,33.3,25,3.2218,0.017988383,[255] ,
Xenopus mulleri ,24,17,2.5104,0.0140164,[255] ,
Conraua goliath ,251,25,18.86,0.105301667,[255] ,
Occidozyga martensii ,9.3,15,0.4167,0.002326575,[255] ,
Occidozyga martensii ,9.3,20,0.524,0.002925667,[255] ,
Occidozyga martensii ,9.3,25,0.8872,0.004953533,[255] ,
Occidozyga martensii ,9.3,30,0.9402,0.00524945,[255] ,
Occidozyga martensii ,9.3,35,1.0779,0.006018275,[255] ,
Pyxicephalus adspersus ,562.3,20,14.22,0.079395,[255] ,
Rana arvalis ,17,5,0.4233,0.002363425,[255] ,
Rana arvalis ,17,10,0.9554,0.005334317,[255] ,
Rana arvalis ,17,15,1.6337,0.009121492,[255] ,
Rana arvalis ,17,20,2.8866,0.01611685,[255] ,
Rana arvalis ,17,25,4.7685,0.026624125,[255] ,
Rana arvalis ,17,30,7.6857,0.042911825,[255] ,
Rana aspersa ,563,18.5,31.6688,0.176817467,[255] ,
Rana berlandieri ,70,29,7.035,0.03927875,[255] ,
Rana blythi ,88.7,25,4.3729,0.024415358,[255] ,
Rana cancrivora ,20.45,20,1.0409,0.005811692,[255] ,
Rana cancrivora ,20.45,25,1.5767,0.008803242,[255] ,
Rana cancrivora ,20.45,30,2.2597,0.012616658,[255] ,
Rana cancrivora ,12.5,30,1.75,0.009770833,[255] ,
Rana cancrivora ,20.45,35,4.1043,0.022915675,[255] ,
Rana catesbeiana ,80.9,5,3.3638,0.018781217,[255] ,
Rana catesbeiana ,262,5,1.3171,0.007353808,[255] ,
Rana catesbeiana ,646,5,10.013,0.055905917,[255] ,
Rana catesbeiana ,43.55,10,0.4355,0.002431542,[255] ,
Rana catesbeiana ,47.3,15,2.7008,0.015079467,[255] ,
Rana catesbeiana ,303.5,19,10.61,0.059239167,[255] ,
Rana catesbeiana ,228.2,20,5.6137,0.031343158,[255] ,
Rana catesbeiana ,300,20,7.2,0.0402,[255] ,
Rana catesbeiana ,277.5,20,6.9028,0.038540633,[255] ,
Rana catesbeiana ,241,20,17.4725,0.097554792,[255] ,
Rana catesbeiana ,43.55,20,1.6549,0.009239858,[255] ,
Rana catesbeiana ,621,20,33.0993,0.184804425,[255] ,
Rana catesbeiana ,503,21.5,18.6739,0.104262608,[255] ,
Rana catesbeiana ,175,22.5,7.525,0.042014583,[255] ,
Rana catesbeiana ,14,25,2.1,0.011725,[255] ,
Rana catesbeiana ,251,25,13.052,0.072873667,[255] ,
Rana catesbeiana ,350,25,15.05,0.084029167,[255] ,
Rana catesbeiana ,269,25,25.017,0.13967825,[255] ,
Rana catesbeiana ,43.55,30,3.7889,0.021154692,[255] ,
Rana chalconota ,4.1,25,0.3911,0.002183642,[255] ,
Rana clamitans ,31,5,0.5397,0.003013325,[255] ,
Rana clamitans ,34.2,14,1.7442,0.00973845,[255] ,
Rana clamitans ,34,15,1.6085,0.008980792,[255] ,
Rana clamitans ,19,21.5,2.1684,0.0121069,[255] ,
Rana clamitans ,32.5,25,2.7008,0.015079467,[255] ,
Rana cyanophlyctis ,0.142,29,0.1729,0.000965358,[255] ,
Rana cyanophlyctis ,0.294,29,0.2157,0.001204325,[255] ,
Rana erythraea ,19,15,0.1786,0.000997183,[255] ,
Rana erythraea ,19,20,0.7809,0.004360025,[255] ,
Rana erythraea ,19,25,1.6245,0.009070125,[255] ,
Rana erythraea ,19,30,2.1299,0.011891942,[255] ,
Rana erythraea ,19,35,3.8703,0.021609175,[255] ,
Rana esculenta ,50.32,6,0.8617,0.004811158,[255] ,
Rana esculenta ,17.5,7,0.2468,0.001377967,[255] ,
Rana esculenta ,31.2,7,0.5887,0.003286908,[255] ,
Rana esculenta ,28.4,12,1.9937,0.011131492,[255] ,
Rana esculenta ,22.15,12,1.91,0.010664167,[255] ,
Rana esculenta ,28.4,12,2.1953,0.012257092,[255] ,
Rana esculenta ,28,15,0.8176,0.004564933,[255] ,
Rana esculenta? ,57.2,15,2.5225,0.014083958,[255] ,
Rana esculenta ,50.32,15,4.4533,0.024864258,[255] ,
Rana esculenta ,36,17,3.4488,0.0192558,[255] ,
Rana esculenta ,30,18.5,6.327,0.03532575,[255] ,
Rana esculenta ,116,18.5,9.3612,0.0522667,[255] ,
Rana esculenta ,45.3,20,4.3941,0.024533725,[255] ,
Rana esculenta ,16.4,20,1.3874,0.007746317,[255] ,
Rana esculenta ,28.8,20,3.7037,0.020678992,[255] ,
Rana esculenta ,15.2,23,0.2523,0.001408675,[255] ,
Rana esculenta ,34.5,24,5.988,0.033433,[255] ,
Rana esculenta ,50.32,25,4.1954,0.023424317,[255] ,
Rana hexadactyla ,51.9,29,11.9889,0.066938025,[255] ,
Rana hexadactyla ,30,29,7.35,0.0410375,[255] ,
Rana magna ,34.2,20,1.4022,0.00782895,[255] ,
Rana magna ,34.2,30,2.8523,0.015925342,[255] ,
Rana muscosa ,13.5,4,0.099,0.00055275,[255] ,
Rana muscosa ,18,15,0.6061,0.003384058,[255] ,
Rana nicobariensis ,2.6,25,0.2561,0.001429892,[255] ,
Rana palustris ,14.7,15,0.9412,0.005255033,[255] ,
Rana palustris ,36,21.5,3.672,0.020502,[255] ,
Rana pipiens ,33.5,5,0.529,0.002953583,[255] ,
Rana pipiens ,25,5,0.7025,0.003922292,[255] ,
Rana pipiens ,34.8,10,0.4907,0.002739742,[255] ,
Rana pipiens ,38.39,10,1.6124,0.009002567,[255] ,
Rana pipiens ,31.8,15,1.1528,0.006436467,[255] ,
Rana pipiens ,25,15,1.2918,0.00721255,[255] ,
Rana pipiens ,43.7,15,2.88,0.01608,[255] ,
Rana pipiens ,32.5,15,1.628,0.009089667,[255] ,
Rana pipiens ,32,17,2.912,0.016258667,[255] ,
Rana pipiens ,26.5,19,1.68,0.00938,[255] ,
Rana pipiens ,34.8,20,1.5208,0.008491133,[255] ,
Rana pipiens ,27.5,20,2.64,0.01474,[255] ,
Rana pipiens ,38.39,20,3.6854,0.020576817,[255] ,
Rana pipiens ,49,20,3.5476,0.019807433,[255] ,
Rana pipiens ,33.6,21.5,2.982,0.0166495,[255] ,
Rana pipiens ,49.5,22,6.5046,0.03631735,[255] ,
Rana pipiens ,52.6,22,3.4032,0.0190012,[255] ,
Rana pipiens ,30,23,4.68,0.02613,[255] ,
Rana pipiens ,25,24,4,0.022333333,[255] ,
Rana pipiens ,37.1,24,4.69,0.026185833,[255] ,
Rana pipiens ,35,25,3.255,0.01817375,[255] ,
Rana pipiens ,32,25,4.352,0.024298667,[255] ,
Rana pipiens ,35.24,25,3.4433,0.019225092,[255] ,
Rana pipiens ,44.3,25,5.64,0.03149,[255] ,
Rana pipiens ,25,25,3.028,0.016906333,[255] ,
Rana pipiens ,42,25,3.276,0.018291,[255] ,
Rana pipiens ,32.5,25,4.147,0.023154083,[255] ,
Rana pipiens ,27.5,30,4.29,0.0239525,[255] ,
Rana pipiens ,34.8,30,4.6945,0.026210958,[255] ,
Rana pipiens ,38.39,30,5.7585,0.032151625,[255] ,
Rana ridibunda ,35,20,1.12,0.006253333,[255] ,
Rana ridibunda ,35.2,20,23.936,0.133642667,[255] ,
Rana ridibunda ,47.5,23,4.0375,0.022542708,[255] ,
Rana sylvatica ,9,5,0.4862,0.002714617,[255] ,
Rana sylvatica ,8.8,14,0.5896,0.003291933,[255] ,
Rana sylvatica ,7.4,15,0.7319,0.004086442,[255] ,
Rana sylvatica ,12.7,20,1.0795,0.006027208,[255] ,
Rana sylvatica ,12.67,20,1.098,0.0061305,[255] ,
Rana sylvatica ,12.7,20,1.0795,0.006027208,[255] ,
Rana sylvatica ,6,25,0.648,0.003618,[255] ,
Rana temporaria ,38.53,6,1.0066,0.005620183,[255] ,
Rana temporaria ,44,9.5,1.21,0.006755833,[255] ,
Rana temporaria ,38,10,0.8143,0.004546508,[255] ,
Rana temporaria ,53,10.4,2.332,0.013020333,[255] ,
Rana temporaria ,30,14,0.356,0.001987667,[255] ,
Rana temporaria ,39,15,0.28,0.001563333,[255] ,
Rana temporaria ,38.53,15,2.6008,0.014521133,[255] ,
Rana temporaria ,35,15.1,0.49,0.002735833,[255] ,
Rana temporaria ,43,1,3.3712,0.018822533,[255] ,
Rana temporaria ,38,19,1.5831,0.008838975,[255] ,
Rana temporaria ,39.6,19.2,2.7166,0.015167683,[255] ,
Rana temporaria ,15.8,20,1.58,0.008821667,[255] ,
Rana temporaria ,37.5,20,5.8875,0.032871875,[255] ,
Rana temporaria ,25,20,1.75,0.009770833,[255] ,
Rana temporaria ,53,22,6.095,0.034030417,[255] ,
Rana temporaria ,42.5,23,4.3775,0.024441042,[255] ,
Rana temporaria ,21.6,24.6,3.456,0.019296,[255] ,
Rana temporaria ,31.1,24.8,3.9373,0.021983258,[255] ,
Rana temporaria ,38.53,25,7.5037,0.041895658,[255] ,
Rana temporaria ,32.8,26.3,2.0697,0.011555825,[255] ,
Rana virgatipes ,7,5,0.14,0.000781667,[255] ,
Rana virgatipes ,7,15,0.35,0.001954167,[255] ,
Rana virgatipes ,7,25,1.015,0.005667083,[255] ,
Chiromantis petersi ,9,25,0.729,0.00407025,[255] ,
Chiromantis petersi ,11.2,25,0.7952,0.004439867,[255] ,
Boulengerula taitanus ,5,20,0.3175,0.001772708,[255] ,
Boulengerula taitanus ,5,25,0.4205,0.002347792,[255] ,
Boulengerula taitanus ,5,35,0.86,0.004801667,[255] ,
Geotrypetes seraphini ,1.93,20,0.0714,0.00039865,[255] ,
Typhlonectes compressicauda ,135,20,4.52,0.025236667,[255] ,
Typhlonectes compressicauda ,64,25,9.546,0.0532985,[255] ,
Typhlonectes compressicauda ,138,25,11.253,0.06282925,[255] ,
Typhlonectes compressicauda ,30.62,25,1.442,0.008051167,[255] ,
